name	kategorie	bedeutung
ascenta	Aufstieg	Von "ascent" (Aufstieg) — der Weg nach oben, Schritt fuer Schritt
ascera	Aufstieg	Kunstwort aus "ascend", weich und markenfaehig
risora	Aufstieg	Von "rise" — das Aufsteigen, mit warmer Endung
elevia	Aufstieg	Von "elevate" — dich auf das naechste Level heben
elavo	Aufstieg	Latein "elevo" = ich hebe empor
zentora	Aufstieg	Vom Zenit — der hoechste Punkt deiner Laufbahn
zenovia	Aufstieg	Zenit + Klang, abstrakt und premium
apexio	Aufstieg	Apex = die Spitze, der Hoehepunkt
apexora	Aufstieg	Apex-Variante mit Markenklang
vertexa	Aufstieg	Vertex = der Scheitelpunkt, ganz oben
summora	Aufstieg	Von "summit" (Gipfel) — oben ankommen
crestly	Aufstieg	Crest = der Kamm, die Spitze einer Welle
soarly	Aufstieg	Von "soar" (aufsteigen, fliegen)
stiga	Aufstieg	Von "steigen" — kurz, kantig, deutsch
steigr	Aufstieg	"Steiger" ohne e — der, der nach oben geht
emporo	Aufstieg	Von "empor" (nach oben), latinisiert
rampra	Aufstieg	Von "ramp up" — Tempo nach oben
klimbo	Aufstieg	Von "climb" — verspielt, jugendlich
gipfelo	Aufstieg	Gipfel mit Markenendung
ascendo	Aufstieg	Latein "ascendo" = ich steige auf
peakora	Aufstieg	Peak = der Gipfel
nivora	Aufstieg	Von "Niveau"/"level" — dein Niveau steigt
levaro	Aufstieg	Latein "levare" = heben, erleichtern
klaro	Klarheit	Von "klar" — alles im Blick, nichts verschwimmt
klarvo	Klarheit	Klarheit als Marke
lumio	Klarheit	Von "lumen" (Licht) — Licht ins Notenchaos
lumora	Klarheit	Licht + Markenklang
luvera	Klarheit	Von "lux/lumen", weich und hell
lumenta	Klarheit	Lumen = Lichtstrom, dein Tag erhellt
prisma	Klarheit	Prisma — buendelt Chaos zu klarem Spektrum
prismo	Klarheit	Prisma-Variante, maennlicher Klang
beamio	Klarheit	Beam = Strahl, Fokus auf das Wesentliche
clario	Klarheit	Von "clarity" — Klarheit ueber deinen Stand
claria	Klarheit	Klarheit, feminine Marke
lucenta	Klarheit	Latein "lucens" = leuchtend
fokara	Klarheit	Von "Fokus" — Konzentration auf das Ziel
fokuso	Klarheit	Fokus als Marke
nordo	Orientierung	Norden — dein Kompass durch die Oberstufe
nordia	Orientierung	Nord + Marke, die Richtung stimmt
kompa	Orientierung	Von "Kompass" — Orientierung im Schuljahr
kursio	Orientierung	Von "Kurs" — du haeltst Kurs aufs Abi
polara	Orientierung	Polaris = der Polarstern, fester Bezugspunkt
polaro	Orientierung	Polarstern-Klang, Orientierung
vektor	Orientierung	Vektor = Richtung + Groesse, zielgerichtet
azimu	Orientierung	Azimut = die Peilung zum Ziel
helmio	Cockpit	Helm = das Steuer, du fuehrst dein Schiff
deckly	Cockpit	Deck/Cockpit — alles auf einem Board
bridgo	Cockpit	Bridge = die Kommandobruecke
pulto	Cockpit	Von "Pult"/Konsole — deine Schaltzentrale
konso	Cockpit	Von "Konsole" — Steuerstand fuer die Schule
panelo	Cockpit	Panel = das Armaturenbrett deines Schultags
orbita	Cockpit	Orbit — alles kreist um dein Ziel, im Blick
orbio	Cockpit	Orbit-Variante, kompakt
nimbo	Cockpit	Von "Nimbus" — alles ueber dir im Ueberblick
notly	Noten	Von "Note" — der Notenrechner als Marke
notara	Noten	Note + Marke, klingt nach Notar/serioes
notvo	Noten	Noten-Kunstwort, kurz
punkto	Noten	Punkt — das 0-15-Punktesystem im Kern
punkta	Noten	Punkte als Marke
quindo	Noten	Von "quindecim" (lat. 15) — 15 Punkte, Bestnote
quinta	Noten	Latein "quinta" — Anklang an Schule und Stufe
gradeo	Noten	Grade = Note, international verstaendlich
gradia	Noten	Von "grade" + "gradus" (lat. Schritt/Stufe)
scoro	Noten	Von "score" — dein Punktestand
skora	Noten	Score, deutsch buchstabiert
markio	Noten	Mark = Note/Marke, doppeldeutig
aceon	Leistung	Ace = die Eins, du rockst es
acely	Leistung	Ace + Marke, "an ace student"
primo	Leistung	Latein "primus" = der Erste, Spitze
prima	Leistung	"prima"/erstklassig, deutsch positiv besetzt
primella	Leistung	Prima + feiner Klang
edgio	Leistung	Edge = der Vorsprung, deine Kante
sharpo	Leistung	Sharp = scharf, on point
forgeo	Leistung	Forge = schmieden — du schmiedest deine Zukunft
forga	Leistung	Schmiede deine Bestnoten
tempora	Leistung	Tempo/Zeit — du arbeitest im richtigen Takt
pacely	Leistung	Pace = das Tempo, dranbleiben
momenta	Momentum	Momentum — der Schwung, der dich traegt
momio	Momentum	Momentum kompakt
fluxo	Momentum	Flux = Fluss, alles im Fluss
fluvia	Momentum	Latein "fluvius" = Fluss, stetiger Lauf
surgeo	Momentum	Surge = der Schub nach vorn
thrivo	Momentum	Thrive = aufbluehen, gedeihen
grovo	Wachstum	Von "grow" — du waechst Halbjahr fuer Halbjahr
growa	Wachstum	Wachstum als Marke
bloomo	Wachstum	Bloom = aufbluehen, dein Potenzial
sprouto	Wachstum	Sprout = sprießen, der erste Trieb
verda	Wachstum	Latein "viridis"/Gruen — Wachstum, frisch
kresco	Wachstum	Latein "cresco" = ich wachse
augeo	Wachstum	Latein "augeo" = ich vermehre, steigere
nova	Zukunft	Nova = neuer Stern, ein Aufleuchten
novara	Zukunft	Nova + Marke
novexo	Zukunft	Nova + next, das Neue voraus
nexa	Zukunft	Von "next" — was als Naechstes kommt
nexora	Zukunft	Next + Marke, vorausschauend
futura	Zukunft	Latein "futura" = die Zukunft
vanta	Zukunft	Avantgarde/vanguard — der Vorreiter
vantel	Zukunft	Vanguard-Klang, vorn dabei
axiom	Zukunft	Axiom = unumstoessliche Wahrheit, Fundament
axio	Zukunft	Axiom kompakt, klar
atlaso	Zukunft	Atlas — traegt deine Welt, Orientierung
vaulta	Zukunft	Vault = der Tresor fuer deine Daten/Ziele
verido	Zukunft	Latein "veritas/viridis" — wahr + wachsend
astera	Sterne	Astra = Sterne, "per aspera ad astra"
astrio	Sterne	Zu den Sternen, kompakt
stello	Sterne	Stella = Stern, du strahlst
stellara	Sterne	Stellar = herausragend, sternenhaft
vega	Sterne	Vega — heller Stern, fester Punkt
siro	Sterne	Von "Sirius" — der hellste Stern
polaris	Sterne	Polarstern — die Konstante am Himmel
kosmo	Sterne	Kosmos — dein ganzes Schul-Universum
kosmera	Sterne	Kosmos + Marke
luna	Sterne	Mond — ruhiger Begleiter durch den Tag
solara	Sterne	Sol = Sonne, Energie fuer den Tag
helio	Sterne	Helios = Sonne, Licht und Antrieb
mensa	Geist	Latein "mens" = Geist/Verstand (auch Tisch)
mentis	Geist	Latein "mentis" = des Geistes, klug
kogni	Geist	Von "Kognition" — Denken, Lernen
sapio	Geist	Latein "sapere" = wissen, weise sein
sopho	Geist	Griechisch "sophia" = Weisheit
noeto	Geist	Griechisch "nous/noesis" = Denken, Einsicht
ideo	Geist	Von "Idee" — der Funke im Kopf
studo	Lernen	Latein "studeo" = ich strebe, lerne
studia	Lernen	Studium als Marke, akademisch
disco	Lernen	Latein "disco" = ich lerne
discio	Lernen	Lernen, latinisierte Marke
schola	Lernen	Latein "schola" = Schule, Wurzel von "school"
skolar	Lernen	Von "scholar" — der Gelehrte
lernio	Lernen	Von "lernen" — direkt, deutsch
lerna	Lernen	Lernen als kurze Marke
pensa	Lernen	Latein "pensum" = die Aufgabe, das Lernpensum
kortex	Geist	Cortex — der denkende Teil des Gehirns
synapt	Geist	Synapse — Verknuepfung, Lernen im Kopf
