name	sprache	bedeutung
abeo	mix	'Abi' + lat. 'eo' = ich gehe (zum Abschluss)
acumen	lat	'acumen' = Scharfsinn
akmeo	gr	von 'akme' = der Höhepunkt
alticore	mix	Fragment-Kombi: Höhe + Kern
altigrad	mix	Fragment-Kombi: Höhe + Stufe
altilux	mix	Fragment-Kombi: Höhe + Licht
altimens	mix	Fragment-Kombi: Höhe + Geist
altimind	mix	Fragment-Kombi: Höhe + Geist
altinova	mix	Fragment-Kombi: Höhe + Neues
altio	lat	von 'altus' = hoch, erhaben
altipath	mix	Fragment-Kombi: Höhe + Pfad
altipeak	mix	Fragment-Kombi: Höhe + Gipfel
altiria	mix	Fragment-Kombi: Höhe
altirise	mix	Fragment-Kombi: Höhe + Aufstieg
altisol	mix	Fragment-Kombi: Höhe + Sonne
altivia	mix	Fragment-Kombi: Höhe + Weg
alumni	lat	'alumni' = die Schüler
animo	lat	von 'animus' = Mut, Geist, Antrieb
apexa	lat	'apex' = Spitze, Höhepunkt
apexar	lat	'apex' = Spitze, Höhepunkt
apexeo	lat	'apex' = Spitze, Höhepunkt
apexia	lat	'apex' = Spitze, Höhepunkt
apexio	lat	'apex' = Spitze, Höhepunkt
apexix	lat	'apex' = Spitze, Höhepunkt
apexly	eng	'apex' (Spitze) + Marke
apexo	lat	'apex' = Spitze, Höhepunkt
apexora	lat	'apex' = Spitze, Höhepunkt
apexus	lat	'apex' = Spitze, Höhepunkt
ardeo	lat	'ardeo' = ich brenne (vor Eifer)
areta	gr	von 'arete' = Bestleistung
ascela	mix	von 'ascendere' = aufsteigen
ascendo	lat	'ascendo' = ich steige auf
ascent	eng	'ascent' = der Aufstieg
aspira	lat	von 'aspirare' = anstreben
astara	mix	von 'astra' = Sterne
astra	lat	'ad astra' = zu den Sternen
astracore	mix	Fragment-Kombi: Sterne + Kern
astragrad	mix	Fragment-Kombi: Sterne + Stufe
astralux	mix	Fragment-Kombi: Sterne + Licht
astramens	mix	Fragment-Kombi: Sterne + Geist
astramind	mix	Fragment-Kombi: Sterne + Geist
astranova	mix	Fragment-Kombi: Sterne + Neues
astrapath	mix	Fragment-Kombi: Sterne + Pfad
astrapeak	mix	Fragment-Kombi: Sterne + Gipfel
astraria	mix	Fragment-Kombi: Sterne
astrarise	mix	Fragment-Kombi: Sterne + Aufstieg
astrasol	mix	Fragment-Kombi: Sterne + Sonne
astravia	mix	Fragment-Kombi: Sterne + Weg
astrio	gr	von 'astron' = Stern
aurea	lat	'aurea' = golden, die goldene Mitte
azimo	mix	von 'Azimut' = die Peilung zum Ziel
beama	eng	engl. 'beam' = Strahl
beamia	eng	engl. 'beam' = Strahl
beamio	eng	engl. 'beam' = Strahl
beamix	eng	engl. 'beam' = Strahl
beamly	eng	engl. 'beam' = Strahl
beamo	eng	engl. 'beam' = Strahl
beamr	eng	engl. 'beam' = Strahl
blicco	mix	von 'Blick' = der Überblick
blicka	de	dt. 'Blick' = Überblick
blickia	de	dt. 'Blick' = Überblick
blickio	de	dt. 'Blick' = Überblick
blicko	de	dt. 'Blick' = Überblick
blooma	eng	engl. 'bloom' = aufblühen
bloomia	eng	engl. 'bloom' = aufblühen
bloomio	eng	engl. 'bloom' = aufblühen
bloomix	eng	engl. 'bloom' = aufblühen
bloomly	eng	engl. 'bloom' = aufblühen
bloomo	eng	engl. 'bloom' = aufblühen
bloomr	eng	engl. 'bloom' = aufblühen
brightly	eng	'bright' (hell/klug) + Marke
brio	mix	ital. 'brio' = Schwung, Feuer
celera	lat	'celer' = schnell
celerar	lat	'celer' = schnell
celereo	lat	'celer' = schnell
celeria	lat	'celer' = schnell
celerio	lat	'celer' = schnell
celerix	lat	'celer' = schnell
celero	lat	'celer' = schnell
celerora	lat	'celer' = schnell
celerus	lat	'celer' = schnell
clara	lat	von 'clarus' = klar, hell, berühmt
claragrad	mix	'clarus'+'gradus' = klare Noten
clarar	lat	von 'clarus' = klar, hell, berühmt
claraura	mix	Fragment-Kombi: Klarheit + Glanz
clarcore	mix	Fragment-Kombi: Klarheit + Kern
clarem	lat	von 'clarus' = klar, hell
clareo	lat	von 'clarus' = klar, hell, berühmt
clargrad	mix	Fragment-Kombi: Klarheit + Stufe
claria	lat	von 'clarus' = klar, hell, berühmt
clario	lat	von 'clarus' = klar, hell, berühmt
claritas	lat	'claritas' = Klarheit
clarix	lat	von 'clarus' = klar, hell, berühmt
clarize	mix	Fragment-Kombi: Klarheit
clarlux	mix	Fragment-Kombi: Klarheit + Licht
clarmens	mix	Fragment-Kombi: Klarheit + Geist
clarmind	mix	Fragment-Kombi: Klarheit + Geist
clarnova	mix	Fragment-Kombi: Klarheit + Neues
claro	lat	von 'clarus' = klar, hell, berühmt
clarora	lat	von 'clarus' = klar, hell, berühmt
clarpath	mix	Fragment-Kombi: Klarheit + Pfad
clarpeak	mix	Fragment-Kombi: Klarheit + Gipfel
clarria	mix	Fragment-Kombi: Klarheit
clarrise	mix	Fragment-Kombi: Klarheit + Aufstieg
clarsol	mix	Fragment-Kombi: Klarheit + Sonne
clarus	lat	von 'clarus' = klar, hell, berühmt
clarvia	mix	Fragment-Kombi: Klarheit + Weg
cogita	lat	'cogita!' = denke!
corely	eng	engl. 'core' = Kern
corer	eng	engl. 'core' = Kern
cortexo	mix	von 'cortex' = Denk-Hirn
cresca	lat	von 'crescere' = wachsen
crescar	lat	von 'crescere' = wachsen
crescent	eng	'crescent' = wachsend, zunehmend
cresceo	lat	von 'crescere' = wachsen
crescia	lat	von 'crescere' = wachsen
crescio	lat	von 'crescere' = wachsen
crescix	lat	von 'crescere' = wachsen
cresco	lat	von 'crescere' = wachsen
crescora	lat	von 'crescere' = wachsen
crescus	lat	von 'crescere' = wachsen
cresta	eng	engl. 'crest' = Spitze, Kamm
crestia	eng	engl. 'crest' = Spitze, Kamm
crestio	eng	engl. 'crest' = Spitze, Kamm
crestix	eng	engl. 'crest' = Spitze, Kamm
cresto	eng	engl. 'crest' = Spitze, Kamm
crestr	eng	engl. 'crest' = Spitze, Kamm
culma	lat	von 'culmen' = Gipfel
culmar	lat	von 'culmen' = Gipfel
culmeo	lat	von 'culmen' = Gipfel
culmia	lat	von 'culmen' = Gipfel
culmio	lat	von 'culmen' = Gipfel
culmix	lat	von 'culmen' = Gipfel
culmo	lat	von 'culmen' = Gipfel
culmora	lat	von 'culmen' = Gipfel
culmus	lat	von 'culmen' = Gipfel
currio	lat	von 'curriculum' = Lehrplan
disca	lat	von 'discere' = lernen
discar	lat	von 'discere' = lernen
disceo	lat	von 'discere' = lernen
discia	lat	von 'discere' = lernen
discio	lat	von 'discere' = lernen
discix	lat	von 'discere' = lernen
disco	lat	von 'discere' = lernen
discora	lat	von 'discere' = lernen
discus	lat	von 'discere' = lernen
doceo	lat	'doceo' = ich lehre
edgely	eng	engl. 'edge' = Vorsprung
edger	eng	engl. 'edge' = Vorsprung
elano	mix	von 'élan' = Schwung
elevo	lat	'elevo' = ich hebe empor
eluma	lat	von 'lumen' = erhellen
eruda	lat	von 'eruditus' = gebildet
eudia	gr	'eudia' = heiteres, klares Wetter
faro	lat	'pharus' = Leuchtturm
floro	lat	von 'florere' = blühen
gipfa	de	von 'Gipfel' = höchster Punkt
gipfia	de	von 'Gipfel' = höchster Punkt
gipfio	de	von 'Gipfel' = höchster Punkt
gipfo	de	von 'Gipfel' = höchster Punkt
glanza	de	dt. 'Glanz'
glanzia	de	dt. 'Glanz'
glanzio	de	dt. 'Glanz'
glanzo	de	dt. 'Glanz'
gnosa	gr	von 'gnosis' = Erkenntnis
grada	lat	von 'gradus' = Stufe, Grad, Note
